time_s,latency_ns,mismatch
0.000908478,1380.000,0
0.000909852,1374.000,0
0.000911262,1410.000,0
0.000912672,1410.000,0
0.000914082,1410.000,0
0.000915528,1446.000,0
0.000916986,1458.000,0
0.000918414,1428.000,0
0.000919860,1446.000,0
0.000921228,1368.000,0
0.000922662,1434.000,0
0.000924066,1404.000,0
0.000925482,1416.000,0
0.000926898,1416.000,0
0.000928320,1422.000,0
0.000929760,1440.000,0
0.000931176,1416.000,0
0.000932568,1392.000,0
0.000934536,1968.000,0
0.000936024,1488.000,0
0.000937404,1380.000,0
0.000938808,1404.000,0
0.000940218,1410.000,0
0.000941622,1404.000,0
0.000943008,1386.000,0
0.000944412,1404.000,0
0.000945834,1422.000,0
0.000947244,1410.000,0
0.000948654,1410.000,0
0.000950028,1374.000,0
0.000951396,1368.000,0
0.000952812,1416.000,0
0.000954228,1416.000,0
0.000955662,1434.000,0
0.000957054,1392.000,0
0.000958452,1398.000,0
0.000959838,1386.000,0
0.000961236,1398.000,0
0.000962622,1386.000,0
0.000963996,1374.000,0
0.000965400,1404.000,0
0.000966786,1386.000,0
0.000968220,1434.000,0
0.000969660,1440.000,0
0.000971076,1416.000,0
0.000972522,1446.000,0
0.000973890,1368.000,0
0.000975300,1410.000,0
0.000976680,1380.000,0
0.000978054,1374.000,0
0.000979482,1428.000,0
0.000980886,1404.000,0
0.000982278,1392.000,0
0.000983682,1404.000,0
0.000985128,1446.000,0
0.000986544,1416.000,0
0.000987912,1368.000,0
0.000989340,1428.000,0
0.000990774,1434.000,0
0.000992178,1404.000,0
0.000993582,1404.000,0
0.000994962,1380.000,0
0.000996366,1404.000,0
0.000997776,1410.000,0
0.000999192,1416.000,0
0.001000596,1404.000,0
0.001002012,1416.000,0
0.001003416,1404.000,0
0.001004826,1410.000,0
0.001006236,1410.000,0
0.001007634,1398.000,0
0.001009020,1386.000,0
0.001010406,1386.000,0
0.001011840,1434.000,0
0.001013244,1404.000,0
0.001014696,1452.000,0
0.001016100,1404.000,0
0.001017468,1368.000,0
0.001018920,1452.000,0
0.001020282,1362.000,0
0.001021668,1386.000,0
0.001023072,1404.000,0
0.001024482,1410.000,0
0.001025874,1392.000,0
0.001027302,1428.000,0
0.001028688,1386.000,0
0.001030098,1410.000,0
0.001031496,1398.000,0
0.001032864,1368.000,0
0.001034328,1464.000,0
0.001035738,1410.000,0
0.001037190,1452.000,0
0.001038600,1410.000,0
0.001040016,1416.000,0
0.001041432,1416.000,0
0.001042836,1404.000,0
0.001044264,1428.000,0
0.001045626,1362.000,0
0.001047042,1416.000,0
0.001048464,1422.000,0
0.001049850,1386.000,0
0.001051290,1440.000,0
0.001052730,1440.000,0
0.001054104,1374.000,0
0.001055508,1404.000,0
0.001056912,1404.000,0
0.001058310,1398.000,0
0.001059714,1404.000,0
0.001061094,1380.000,0
0.001062492,1398.000,0
0.001063890,1398.000,0
0.001065774,1884.000,0
0.001067226,1452.000,0
0.001068636,1410.000,0
0.001070010,1374.000,0
0.001071444,1434.000,0
0.001072854,1410.000,0
0.001074300,1446.000,0
0.001075668,1368.000,0
0.001077078,1410.000,0
0.001078446,1368.000,0
0.001079874,1428.000,0
0.001081266,1392.000,0
0.001082664,1398.000,0
0.001084032,1368.000,0
0.001085424,1392.000,0
0.001086858,1434.000,0
0.001088292,1434.000,0
0.001089696,1404.000,0
0.001091106,1410.000,0
0.001092516,1410.000,0
0.001093920,1404.000,0
0.001095306,1386.000,0
0.001096704,1398.000,0
0.001098102,1398.000,0
0.001099536,1434.000,0
0.001100946,1410.000,0
0.001102350,1404.000,0
0.001103784,1434.000,0
